-,-,-
-107,-46,953
-128,-83,951
-123,-37,917
-105,-37,917
-87,-35,890
-72,-15,851
-50,-31,832
-60,-123,839
-52,-125,726
-1,-117,468
46,-384,496
-19,-60,640
-50,-164,638
-156,216,1087
-359,-193,1388
-406,-105,1500
-337,-185,1472
-341,-175,1582
-240,-220,1367
-152,-80,1208
-105,-130,1113
-117,-240,980
-80,21,822
-113,-87,759
-154,-287,662
-117,-101,404
-95,-333,457
-191,-271,554
-173,-392,423
-212,-427,554
-230,-275,582
-207,-269,605
-216,-298,593
-152,-207,833
-242,-261,1062
-304,-292,1390
-310,-359,1490
-300,-392,1589
-341,-568,1468
-263,-445,1341
-230,-445,1242
-158,-259,1111
-125,-208,978
-78,11,859
-175,-44,662
-259,-400,644
-322,-199,632
-330,-316,529
-335,-177,660
-279,-347,681
-291,-177,753
-300,-291,845
-,-,-
-95,-214,927
-54,-148,833
-76,-171,929
-70,-193,863
-19,-125,761
62,-326,523
58,-312,613
-44,-177,578
-29,-105,335
-142,-218,884
-253,-113,916
-167,-142,964
-330,-283,1423
-359,-433,1421
-294,-337,1537
-335,-416,1621
-347,-464,1486
-222,-328,1285
-158,-269,1119
-64,-347,976
-87,-119,832
-48,-1,716
-169,-62,666
-146,-345,486
-82,-259,386
-132,-269,558
-128,-269,304
-138,-289,427
-207,-257,498
-119,-60,404
-117,-292,568
-80,-333,541
-207,-248,1054
-283,-400,1179
-351,-339,1552
-431,-517,1500
-333,-410,1558
-380,-625,1648
-369,-431,1388
-306,-386,1230
-216,-275,1019
-212,-121,974
-205,-214,781
-205,-175,658
-228,-363,636
-269,-332,519
-,-,-
-83,-134,955
-74,-164,957
-83,-189,957
-101,-208,968
-80,-142,859
-62,-160,912
-87,-175,863
-58,-148,837
-54,-191,792
-33,-126,693
-37,-310,638
-60,-222,615
-107,-250,507
58,-107,429
-23,-314,814
-99,-87,904
-191,-255,1341
-431,-287,1664
-421,-384,1636
-421,-343,1761
-400,-496,1595
-316,-353,1343
-197,-99,1101
-101,-220,912
-64,-205,710
-101,-171,664
-70,-242,378
-70,-271,365
-154,-242,529
-128,-273,250
-99,-232,361
-134,-42,335
-123,-119,382
-123,-218,564
-167,-242,751
-195,-464,1031
-337,-595,1388
-376,-640,1503
-429,-650,1646
-417,-759,1587
-441,-605,1533
-345,-546,1287
-259,-453,1236
-257,-244,1126
-251,-296,855
-277,-46,730
-242,-373,498
-298,-341,509
-234,-58,392
-208,-267,511
-255,-66,587
-242,-251,697
-265,-173,806
-,-,-
-121,-66,878
-138,-134,890
-113,-134,812
-89,-113,783
-80,-89,681
-66,-93,701
-134,-162,761
-113,-68,496
-13,-66,585
-111,-251,667
-95,-121,958
-152,-222,1111
-171,-341,1455
-275,-328,1464
-191,-257,1617
-333,-474,1750
-330,-138,1373
-195,-236,1363
-164,-246,1150
-103,-353,890
-140,-226,830
-132,-175,527
-95,-396,609
-169,-138,421
-119,-265,367
-95,-265,310
-80,-251,369
-154,-146,371
-60,-138,310
-166,-171,644
-117,-341,527
-123,-330,982
-322,-445,1378
-304,-566,1462
-388,-751,1644
-365,-824,1578
-328,-751,1470
-324,-687,1341
-296,-531,1218
-230,-242,1062
-207,-236,992
-253,-251,746
-212,-283,626
-253,-248,589
-250,-107,500
-197,-289,544
-242,-56,585
-187,-234,664
-238,-226,802
-263,-234,833
-,-,-
-80,-83,904
-87,-119,896
-105,-103,869
-80,-148,769
-33,-95,656
-95,-140,697
-201,-185,638
-95,-130,427
-82,-17,708
-78,-35,789
-41,-271,896
-246,-277,1390
-318,-351,1341
-166,-328,1496
-265,-505,1712
-273,-392,1486
-156,-437,1351
-146,-291,1214
-107,-279,1035
-83,-56,853
-87,-242,873
-82,-189,656
-179,-150,640
-132,-123,429
-117,-152,554
-132,-177,398
-111,-208,435
-187,-140,414
-150,-35,494
-46,-160,341
-101,-345,703
-146,-337,802
-208,-408,1074
-328,-517,1232
-357,-585,1494
-414,-796,1542
-382,-750,1449
-376,-703,1425
-375,-585,1287
-292,-351,1142
-312,-300,1083
-333,-367,980
-322,-269,617
-265,-398,623
-296,-117,443
-210,-314,542
-,-,-
-142,-91,951
-117,-29,929
-150,-83,994
-144,-15,953
-126,-89,890
-83,21,882
-101,-37,931
-111,-39,824
-87,-23,843
-154,-66,828
-132,-148,732
-50,-99,474
19,-177,611
-95,-130,650
60,-103,326
-23,-207,1050
-207,-242,1070
-138,-363,1267
-289,-515,1587
-314,-343,1529
-337,-386,1646
-371,-394,1500
-246,-236,1240
-105,-236,1091
-64,-267,882
-46,-220,771
-41,-179,617
-31,-306,578
-74,-312,552
-109,-27,457
-103,-234,501
-167,-248,453
-146,-113,394
-205,-187,560
-212,-119,433
-31,-371,578
-162,-373,792
-130,-277,1082
-384,-634,1488
-394,-603,1568
-388,-666,1541
-359,-804,1587
-326,-685,1365
-267,-535,1167
-246,-398,1160
-226,-164,949
-207,-173,781
-294,-261,705
-257,-242,578
-312,-234,494
-232,-326,537
-271,-201,556
-232,-173,634
-332,-214,755
-,-,-
-208,-119,955
-175,-128,976
-138,-85,919
-103,-78,822
109,-138,505
95,-255,695
85,-150,394
83,-417,466
-207,-138,785
-246,-56,910
-345,-378,1189
-421,-394,1558
-503,-425,1652
-369,-375,1472
-285,-449,1396
-246,-359,1175
-246,-482,1117
-255,-333,791
-283,-396,679
-263,-294,589
