-,-,-
-179,649,914
-171,331,947
-158,378,937
-164,314,968
-175,295,919
-179,489,880
-207,567,857
-240,640,785
-263,233,750
-291,251,683
-332,212,708
-318,358,751
-291,-27,843
-281,-167,886
-210,-31,863
-169,-99,955
-126,-13,1054
-111,-89,1089
-35,-17,1142
-25,-140,1123
68,-123,1076
76,-265,1146
111,-224,988
138,-119,953
37,-224,1021
17,-185,935
23,-214,884
-80,-156,949
-216,-222,890
-375,-212,976
-513,-60,941
-505,-64,910
-476,-183,886
-427,-23,869
-318,-115,833
-292,-171,894
-,-,-
-166,-31,943
-181,111,962
-175,115,935
-175,255,982
-189,-27,931
-191,111,904
-197,277,871
-183,-73,869
-185,415,826
-242,-25,814
-314,424,736
-308,-33,718
-330,-42,740
-310,-107,673
-259,-125,798
-281,107,787
-277,-89,1005
-205,-224,978
-156,646,1103
-25,-294,1125
62,-113,1189
173,-308,1099
244,-281,988
257,-230,1027
205,-316,1019
203,-138,779
183,-154,802
-58,-365,1027
-292,-107,857
-402,-226,972
-542,-41,986
-673,-169,1230
-595,-55,917
-453,-164,982
-429,-158,976
-,-,-
-154,-95,933
-142,-44,884
-142,-42,914
-158,-52,878
-187,-83,841
-187,-23,759
-222,-85,771
-279,-89,710
-250,-48,675
-330,-109,767
-292,-154,705
-253,-142,734
-248,-109,855
-191,-29,814
-152,-238,908
-158,-64,1138
-72,-257,1089
1,-232,1324
72,-339,1203
232,-431,1158
271,-460,1072
296,-365,953
259,-296,875
220,-201,839
173,-183,738
-41,-332,904
-414,-119,1144
-392,-273,781
-466,-199,1046
-462,-199,769
-375,-166,839
-396,-271,949
-353,-175,867
-292,-306,974
-269,-189,890
-,-,-
-89,-113,880
-119,-177,931
-142,-148,814
-142,-130,720
-214,-99,732
-267,-177,726
-281,-50,679
-328,-167,832
-277,-191,775
-251,-83,828
-169,-125,835
-107,-199,1041
-46,-316,935
29,-208,1019
62,-425,1138
175,-392,1076
242,-359,1197
279,-449,1095
277,-492,1089
255,-421,939
199,-275,863
187,-406,751
13,-378,964
-97,-259,695
-291,-101,1037
-435,-371,978
-482,-13,863
-451,-220,945
-449,-162,916
-394,-138,978
-341,-304,867
-277,-130,935
-,-,-
-87,-148,921
-109,-117,898
-130,-105,880
-142,-148,822
-138,-83,738
-193,-134,730
-201,-101,646
-230,-85,720
-304,-140,845
-289,-83,736
-257,-115,873
-265,-169,869
-183,-273,796
-128,-142,966
-54,-328,960
37,-236,1044
72,-310,1107
152,-275,1066
113,-404,1236
115,-298,1107
134,-304,1056
119,-291,1013
115,-251,878
117,-304,976
56,-244,798
103,-183,871
27,-289,914
-44,-312,726
-169,-343,898
-386,-181,964
-382,-345,748
-562,-208,1085
-562,-128,863
-460,-195,916
-398,-230,880
-335,-234,869
-234,-251,851
-212,-306,894
-205,-306,847
-197,-275,958
-222,-187,851
-224,-335,947
-,-,-
-152,-74,925
-150,-113,863
-199,-162,791
-228,-83,695
-271,-130,726
-283,-68,652
-250,-117,761
-259,-41,783
-148,-199,830
-167,-15,833
-183,-150,929
-64,-236,863
-154,-281,1078
-117,-398,1029
44,-205,1066
23,-271,1107
138,-398,1072
95,-230,1199
156,-375,1044
179,-408,1046
119,-294,953
105,-281,802
39,-208,943
-70,-335,806
