-,-,-
-154,-19,960
-148,298,972
-58,58,1083
17,74,1072
87,80,1125
62,60,962
27,66,888
-60,-9,810
-138,-41,746
-125,325,761
-162,-11,685
-187,-99,728
-224,-58,738
-230,030,712
-279,-56,771
-359,-85,732
-351,-66,845
-410,-85,869
-398,-115,908
-423,-109,898
-445,-66,951
-447,-113,888
-490,-101,947
-332,-66,1109
-386,-109,1136
-322,-140,1119
-144,-83,1255
-187,-109,1117
-33,-183,1179
-33,-201,1228
-11,-226,1113
44,-228,1197
50,-251,1087
101,-267,1107
128,-166,1101
191,-185,1039
183,-152,1019
162,-205,953
156,-140,814
138,-117,837
50,-175,720
-54,-160,650
-148,-109,648
-242,-29,591
-341,-11,634
-406,416,781
-417,527,849
-,-,-
-222,212,919
-183,393,929
-181,231,900
-121,621,966
-35,115,970
95,87,1046
72,37,873
23,46,771
-31,-3,771
-121,-93,716
-189,-128,767
-267,-101,697
-277,-111,679
-355,-140,677
-425,-181,732
-421,-171,806
-435,-193,923
-433,-203,931
-439,-205,978
-546,-300,1044
-513,-230,1021
-423,-113,1023
-412,-230,1109
-351,-154,1035
-300,-189,1134
-177,-117,1638
-13,-353,986
-46,-162,1134
-41,-236,1162
27,-287,1095
95,-291,1103
83,-208,1009
109,-232,1005
91,-263,984
146,-156,929
128,-164,927
99,-224,880
54,-183,910
11,-228,875
-3,-222,855
-29,-171,855
-21,-224,822
-29,-146,759
-35,-87,806
-91,-87,744
-160,-33,792
-226,156,775
-322,172,781
-400,870,796
-437,647,839
-,-,-
-150,540,951
-144,464,927
-23,105,966
105,181,1003
330,259,974
197,58,720
13,-123,585
-193,-169,748
-234,-171,724
-304,-242,750
-328,-177,822
-287,-154,857
-289,-136,910
-357,-166,880
-427,-126,849
-457,-160,857
-482,-148,837
-392,-76,968
-365,-175,1074
-455,-228,1076
-304,-187,1189
-292,-154,1058
-312,-250,1136
-142,-126,1160
-158,-189,1042
-82,-236,1148
-72,-183,960
25,-347,1121
13,-308,1113
97,-341,1062
154,-337,1140
156,-296,1013
193,-324,1023
136,-292,929
111,-265,875
93,-183,855
72,-160,816
62,-148,824
42,-162,785
33,-150,732
-11,-95,677
-48,-58,720
-93,-46,751
-222,-37,738
-310,-90,765
-392,152,822
-410,740,841
-,-,-
-410,-207,871
-388,-177,921
-396,-248,886
-406,-177,871
-330,-169,814
-375,-121,789
-406,-132,738
-433,-130,769
-486,-140,849
-519,-130,759
-472,-66,876
-480,-232,1003
-552,-154,935
-369,-87,1048
-427,-207,1070
-341,-136,1074
-244,-203,1189
-330,-341,1156
-152,-99,1068
-82,-164,1066
-117,-222,904
-46,-232,970
-89,-281,1048
0,-285,1009
3,-316,1128
39,-318,1070
87,-332,1115
117,-333,1021
76,-361,1015
111,-300,935
66,-275,962
70,-232,843
83,-205,880
23,-220,808
29,-160,851
0,-115,777
-31,-148,818
-70,-113,773
-107,-54,738
-154,-54,785
-238,-15,753
-279,-59,798
-,-,-
-146,136,945
-109,359,966
-105,-75,929
-76,33,929
-66,70,886
-15,126,826
-70,-35,808
-158,-83,802
-167,-42,787
-197,-115,785
-267,-181,785
-322,-130,773
-361,-164,720
-453,-187,767
-474,-171,808
-417,-193,822
-425,-244,978
-431,-234,1005
-429,-216,982
-425,-234,1037
-367,-158,1044
-378,-242,1007
-294,-191,1160
-246,-177,1144
-251,-238,986
-105,-187,1208
-95,-158,1023
-83,-142,935
-62,-205,1031
-62,-251,923
-7,-322,1095
15,-269,1042
62,-324,1052
105,-281,1109
156,-265,1039
193,-289,1029
126,-228,1039
142,-228,921
109,-177,917
101,-240,863
68,-222,878
35,-212,808
27,-187,791
-29,-142,781
-37,-107,746
-70,-54,757
-142,-107,726
-251,-76,707
-,-,-
-150,150,947
-99,-3,964
-72,21,933
-3,60,914
-19,39,902
-138,-70,867
-158,158,792
-166,-17,773
-169,-87,714
-222,-132,822
-250,-125,734
-296,-148,826
-365,-244,826
-404,-193,853
-410,-183,921
-421,-220,947
-414,-175,976
-359,-107,949
-373,-121,871
-343,-101,929
-304,-197,929
-281,-228,1019
-152,-89,1017
-146,-199,1070
-117,-228,1136
-148,-181,1066
-82,-222,1093
-99,-261,1095
-83,-285,1046
-78,-335,1123
-44,-281,1089
-23,-251,1037
-35,-306,1066
13,-289,1054
68,-248,1019
83,-296,1070
76,-296,980
140,-269,964
87,-265,968
68,-255,900
76,-156,873
15,-169,798
7,-105,740
-27,-99,718
-50,-42,662
-48,13,740
-181,-31,681
-310,-44,710
-441,821,822
-,-,-
-103,443,958
-99,21,955
-70,23,917
-62,-19,925
-17,13,851
-1,0,916
-7,9,863
-21,-48,880
-31,17,826
-25,-11,832
-107,-57,763
-121,-91,775
-142,-27,646
-242,-92,750
-242,-21,615
-371,-76,798
-419,-60,787
-517,627,978
-648,878,980
-650,-148,1250
-652,-148,1212
-623,-185,1324
-513,-212,1289
-457,-410,1285
-269,-337,1332
-123,-490,1308
23,-402,1164
97,-300,1058
169,-355,1039
193,-171,791
203,-123,767
117,-148,673
58,-70,726
-70,42,537
-142,-189,685
-238,748,640
-304,974,789
-,-,-
-95,-11,863
-72,21,908
44,-128,794
123,-234,675
138,-117,498
-52,-19,662
-328,218,953
-476,876,861
-523,833,957
-451,501,669
-486,275,820
-523,107,791
-517,647,962
-582,-12,1041
-541,-175,1203
-527,-46,1171
-478,-359,1380
-275,-250,1171
-306,-296,1375
-197,-472,1232
-183,-244,1230
-183,-167,1224
-152,-232,1134
-99,-164,849
-19,-177,957
56,-240,886
62,-97,628
128,-244,804
158,-250,767
97,-105,410
33,-83,626
-50,-171,849
-246,836,781
-349,261,751
-359,919,996
-380,330,875
-326,101,943
-,-,-
-101,211,906
-91,35,888
-62,-7,839
-54,-72,779
-74,-85,779
-113,-52,646
-187,-58,775
-208,908,695
-234,-68,697
-292,-41,855
-351,601,871
-457,467,900
-509,419,863
-621,211,947
-626,-19,968
-601,-76,1027
-548,-353,1187
-466,-230,1210
-357,-480,1273
-333,-363,1419
-236,-498,1367
-171,-408,1285
-148,-341,1244
-78,-398,1048
-5,-345,927
76,-250,884
83,-263,837
64,-240,792
9,-107,714
-41,-87,621
-125,-41,583
-212,992,650
-271,152,779
-326,171,740
-339,191,910
-,-,-
-162,107,917
-113,463,917
-99,35,839
-76,36,728
-19,-78,574
-91,-39,761
-158,178,742
-203,463,728
-265,135,945
-208,-66,642
-320,-87,1056
-423,233,980
-453,683,898
-546,-23,1111
-570,-82,1005
-574,-91,1039
-546,-257,1046
-464,-203,1142
-427,-207,1099
-322,-320,1091
-294,-300,1277
-289,-345,1291
-179,-423,1261
-130,-384,1160
-31,-386,1060
35,-429,964
64,-312,916
97,-246,828
72,-248,822
46,-189,767
-15,-50,699
-23,-33,634
-93,-54,626
-142,722,603
-269,142,816
-,-,-
-117,917,945
-80,37,863
-41,-23,884
15,-54,708
-7,-66,708
-39,-5,597
-166,-31,728
-251,-19,750
-333,-39,712
-416,-95,892
-414,-83,750
